"item","S_X2","df.S_X2","RMSEA.S_X2","p.S_X2"
"Item_1",32.4738009781822,21,0.0165324649939189,0.052387381685333
"Item_2",29.0747592292489,20,0.0150659374738915,0.0862977422548747
"Item_3",21.7025531643831,18,0.0101439710707979,0.245458956022991
"Item_4",22.2385359358382,17,0.0124157827856029,0.175718708815304
"Item_5",24.470323033086,20,0.0105742131063526,0.222450885217257
"Item_6",23.6945828247447,17,0.0140355973810292,0.127973824427212
"Item_7",23.780657650802,19,0.0112191673105375,0.204701031316421
"Item_8",35.3916944001561,18,0.0219850925486737,0.00843475933826102
"Item_9",11.6717620014223,18,0,0.863712409286247
"Item_10",20.6257016332187,17,0.0103291640099542,0.243481565642647
"Item_11",17.0639471292343,20,0,0.648817476332056
"Item_12",20.4469818595493,20,0.00334367111974429,0.430299253107316
"Item_13",21.2555294003806,18,0.00951191939295446,0.266717857603355
"Item_14",17.7249767712386,18,0,0.473903908355937
"Item_15",17.6512187656837,18,0,0.478841825515681
"Item_16",23.3462424546959,19,0.0106972901918238,0.222435300375333
"Item_17",17.6449880963296,19,0,0.546256630771243
"Item_18",27.496734351334,20,0.0136935063019217,0.121858210310273
"Item_19",26.7786584921127,19,0.014310972756481,0.109915308911371
"Item_20",18.1053681522392,19,0,0.515410448919041
"Item_21",19.5136354981245,19,0.00367742918049325,0.424359746343383
"Item_22",5.11604408718335,15,0,0.991097465209416
"Item_23",15.2475152965406,19,0,0.706741371016433
"Item_24",23.8375046730783,19,0.0112856740061717,0.202459492847522
"Item_25",20.6255266403968,20,0.00395550110661374,0.41946062782432
"Item_26",19.5787405888401,16,0.0105778820751534,0.239795885613627
"Item_27",16.7089447172895,18,0,0.543194212342288
"Item_28",17.9048932369554,18,0,0.461934377315565
"Item_29",28.7715750982085,19,0.0160398051978863,0.0696640652411669
"Item_30",17.9225410172907,20,0,0.592510931207664
