"item","parametro","fixo","verdadeiro","estimativa","erro_padrao","ic95_inferior","ic95_superior"
"Item_1","a1",FALSE,0.8,0.792720019234501,0.155165848507541,0.488600544529123,1.09683949393988
"Item_1","a2",TRUE,0,0,NA,NA,NA
"Item_1","d",FALSE,2,1.83294316973224,0.443278988880613,0.96413231642291,2.70175402304157
"Item_1","c",FALSE,0.2,0.321054231449754,0.244063712679966,0.0500473542512776,0.809317273864542
"Item_2","a1",FALSE,0,0.237267470043032,0.263523998704772,-0.279230076480301,0.753765016566364
"Item_2","a2",FALSE,0.9,0.968488592870611,0.268731677671923,0.441784183128615,1.49519300261261
"Item_2","d",FALSE,1.8,1.75388068482393,0.258525924217177,1.24717918428833,2.26058218535953
"Item_2","c",FALSE,0.19,0.213451853012879,0.140362951128674,0.0500754515907139,0.582821401823594
"Item_3","a1",FALSE,0.86,0.67368112067086,0.261546269037533,0.161059853066472,1.18630238827525
"Item_3","a2",FALSE,0.6,1.09419485551816,0.280430091524273,0.544561975949317,1.64382773508701
"Item_3","d",FALSE,1.6,1.48282284374278,0.228778768914802,1.03442469624236,1.9312209912432
"Item_3","c",FALSE,0.18,0.202827544218932,0.116362908655243,0.0584558992488288,0.510453143709272
"Item_4","a1",FALSE,0.89,1.36140946075301,0.313962300184888,0.74605465988728,1.97676426161875
"Item_4","a2",FALSE,1,1.25637893212253,0.312352000709557,0.644180260232771,1.86857760401229
"Item_4","d",FALSE,1.4,0.884854039823314,0.218947348530923,0.455725122192166,1.31398295745446
"Item_4","c",FALSE,0.17,0.350696165062689,0.0650075068278715,0.235858226850174,0.485894084256878
"Item_5","a1",FALSE,0.92,0.484433228190277,0.336923152219995,-0.17592401571862,1.14479047209917
"Item_5","a2",FALSE,0,1.16626427542811,0.403167911346263,0.376069689467195,1.95645886138902
"Item_5","d",FALSE,1.2,0.00165213367175494,0.532867494973619,-1.04274896500862,1.04605323235213
"Item_5","c",FALSE,0.16,0.576281847694663,0.0833746240149646,0.410549735007065,0.726462867815943
"Item_6","a1",FALSE,0.95,1.65815992351694,0.304129180555821,1.06207768297985,2.25424216405403
"Item_6","a2",FALSE,1.2,1.07047872021956,0.278256701299597,0.525105607215425,1.61585183322369
"Item_6","d",FALSE,1,0.951410161950698,0.156892117111311,0.643907262954289,1.25891306094711
"Item_6","c",FALSE,0.15,0.176977630402214,0.0526934646892389,0.0956944737960671,0.304086461330633
"Item_7","a1",FALSE,0,0.549888831108515,0.23207399135677,0.095032166300786,1.00474549591624
"Item_7","a2",FALSE,0.84,0.645879522041134,0.234498922983716,0.186270078579618,1.10548896550265
"Item_7","d",FALSE,0.8,0.372443734375168,0.400496183998994,-0.412514362208587,1.15740183095892
"Item_7","c",FALSE,0.21,0.374653660847786,0.126362737663601,0.172301271377749,0.632927728748204
"Item_8","a1",FALSE,1.01,1.14271715104619,0.282337203412812,0.589346400861321,1.69608790123106
"Item_8","a2",FALSE,0.8,1.17248962519105,0.306898953814522,0.570978728821568,1.77400052156054
"Item_8","d",FALSE,0.6,0.377159592337028,0.198965862427343,-0.012806332173515,0.767125516847571
"Item_8","c",FALSE,0.22,0.25334304147133,0.056070380758462,0.159516703913175,0.377565499164885
"Item_9","a1",FALSE,1.04,1.7253542293781,0.330816020082335,1.07696674450784,2.37374171424835
"Item_9","a2",FALSE,1.04,1.08943636509456,0.294809577195762,0.511620211493381,1.66725251869573
"Item_9","d",FALSE,0.4,0.252771213942461,0.191609991820844,-0.122777469104408,0.62831989698933
"Item_9","c",FALSE,0.23,0.3089992134626,0.0411476491934124,0.234600990954386,0.394820627582458
"Item_10","a1",FALSE,1.07,1.45307569219467,0.285524648446377,0.893457664541307,2.01269371984802
"Item_10","a2",FALSE,1.07,1.14271841695177,0.267507990597853,0.618412389803297,1.66702444410024
"Item_10","d",FALSE,0.2,0.334589663350897,0.172603440890841,-0.00370686440283791,0.672886191104633
"Item_10","c",FALSE,0.24,0.233485327068783,0.0443107484920318,0.157891931900684,0.331042961512711
"Item_11","a1",FALSE,1.1,0.85484439005765,0.230783785403482,0.402516482451004,1.3071722976643
