"item","S_X2","df.S_X2","RMSEA.S_X2","p.S_X2"
"Item_1",6.5644291364771,11,0,0.833181254945961
"Item_2",8.29132237344166,11,0,0.686994313770398
"Item_3",12.3587358789132,10,0.00886852559406071,0.261764746604918
"Item_4",20.2336737870502,9,0.020400998154213,0.0165238257184307
"Item_5",7.57500380806961,10,0,0.670271898639176
"Item_6",10.6137041495723,10,0.00452367397084211,0.388394680304556
"Item_7",20.4935745763723,10,0.0187056797086749,0.0249151616455087
"Item_8",16.1868576787642,11,0.012539135352523,0.134334402939438
"Item_9",9.47608674563416,11,0,0.578034908577709
"Item_10",13.6060474805394,12,0.00668036718927759,0.32656925096528
"Item_11",18.6478486577595,12,0.0135913221356376,0.0973887258555638
"Item_12",8.81284993728668,12,0,0.718826976646792
"Item_13",12.4501657838627,12,0.00353677461804727,0.410236274739168
"Item_14",14.1048740633697,11,0.00970146719065046,0.227244604193395
"Item_15",7.83051474313952,11,0,0.728400865039669
"Item_16",5.65377732153827,11,0,0.895438180061349
"Item_17",9.36549791654303,11,0,0.588194419022985
"Item_18",19.7712825091814,12,0.014694929019949,0.0715381205705631
"Item_19",7.75343956077907,11,0,0.73520532516681
"Item_20",7.18404811295318,11,0,0.78398901554589
