"item","faixa","categoria","observado","esperado","proporcao_observada","proporcao_esperada"
"Item_1","3","0",3,2.28408295220191,0.001,0.000761360984067304
"Item_1","4","0",5,6.05711424780609,0.00166666666666667,0.00201903808260203
"Item_1","5","0",6,6.91044283888168,0.002,0.00230348094629389
"Item_1","6","0",13,14.2870506620688,0.00433333333333333,0.00476235022068962
"Item_1","7","0",24,21.7637893846609,0.008,0.00725459646155362
"Item_1","8","0",30,28.8444587898267,0.01,0.00961481959660889
"Item_1","9","0",32,33.2791479866498,0.0106666666666667,0.0110930493288833
"Item_1","10","0",29,28.8609461876015,0.00966666666666667,0.00962031539586717
"Item_1","11","0",31,27.5114521646701,0.0103333333333333,0.00917048405489005
"Item_1","12","0",20,24.9266931996996,0.00666666666666667,0.0083088977332332
"Item_1","13","0",21,17.0223204963393,0.007,0.00567410683211312
"Item_1","14","0",9,10.8270233764104,0.003,0.00360900779213679
"Item_1","15","0",5,6.89155167654046,0.00166666666666667,0.00229718389218015
"Item_1","16","0",5,3.013560727163,0.00166666666666667,0.00100452024238767
"Item_1","17","0",1,1.70022055139895,0.000333333333333333,0.000566740183799649
"Item_1","3","1",1,1.71591704779809,0.000333333333333333,0.00057197234926603
"Item_1","4","1",9,7.94288575219391,0.003,0.00264762858406464
"Item_1","5","1",14,13.0895571611183,0.00466666666666667,0.00436318572037278
"Item_1","6","1",39,37.7129493379311,0.013,0.0125709831126437
"Item_1","7","1",76,78.2362106153393,0.0253333333333333,0.0260787368717798
"Item_1","8","1",138,139.155541210174,0.046,0.0463851804033912
"Item_1","9","1",215,213.72085201335,0.0716666666666667,0.07124028400445
"Item_1","10","1",246,246.139053812398,0.082,0.0820463512707995
"Item_1","11","1",309,312.48854783533,0.103,0.104162849278443
"Item_1","12","1",385,380.073306800301,0.128333333333333,0.126691102266767
"Item_1","13","1",349,352.97767950366,0.116333333333333,0.11765922650122
"Item_1","14","1",313,311.17297662359,0.104333333333333,0.103724325541197
"Item_1","15","1",284,282.108448323459,0.0946666666666667,0.0940361494411531
"Item_1","16","1",181,182.986439272837,0.0603333333333333,0.0609954797576123
"Item_1","17","1",204,203.299779448601,0.068,0.0677665931495336
"Item_2","3","0",3,2.57213857806396,0.001,0.00085737952602132
"Item_2","4","0",9,7.13544595100604,0.003,0.00237848198366868
"Item_2","5","0",12,8.39508360388018,0.004,0.00279836120129339
"Item_2","6","0",17,17.8488442421658,0.00566666666666667,0.0059496147473886
"Item_2","7","0",28,27.8954902881261,0.00933333333333333,0.0092984967627087
"Item_2","8","0",36,37.8574729757078,0.012,0.0126191576585693
"Item_2","9","0",48,44.653534236871,0.016,0.0148845114122903
"Item_2","10","0",33,39.5376681698995,0.011,0.0131792227232998
"Item_2","11","0",36,38.4367197869877,0.012,0.0128122399289959
"Item_2","12","0",36,35.4832233042743,0.012,0.0118277411014248
"Item_2","13","0",26,24.6699042432462,0.00866666666666667,0.00822330141441539
"Item_2","14","0",14,15.9654826633659,0.00466666666666667,0.00532182755445532
"Item_2","15","0",10,10.3351231266892,0.00333333333333333,0.00344504104222973
"Item_2","16","0",5,4.59484106739806,0.00166666666666667,0.00153161368913269
"Item_2","17","0",5,2.64647236158534,0.00166666666666667,0.00088215745386178
"Item_2","3","1",1,1.42786142193604,0.000333333333333333,0.000475953807312014
"Item_2","4","1",5,6.86455404899395,0.00166666666666667,0.00228818468299798
"Item_2","5","1",8,11.6049163961198,0.00266666666666667,0.00386830546537328
"Item_2","6","1",35,34.1511557578341,0.0116666666666667,0.0113837185859447
"Item_2","7","1",72,72.1045097118742,0.024,0.0240348365706247
"Item_2","8","1",132,130.142527024292,0.044,0.0433808423414308
"Item_2","9","1",199,202.346465763129,0.0663333333333333,0.0674488219210431
"Item_2","10","1",242,235.4623318301,0.0806666666666667,0.0784874439433668
"Item_2","11","1",304,301.563280213013,0.101333333333333,0.100521093404338
"Item_2","12","1",369,369.516776695726,0.123,0.123172258898575
"Item_2","13","1",344,345.330095756753,0.114666666666667,0.115110031918918
"Item_2","14","1",308,306.034517336635,0.102666666666667,0.102011505778878
"Item_2","15","1",279,278.664876873311,0.093,0.0928882922911036
"Item_2","16","1",181,181.405158932602,0.0603333333333333,0.0604683863108673
"Item_2","17","1",200,202.353527638414,0.0666666666666667,0.0674511758794715
"Item_3","4","0",12,12.2819197591071,0.004,0.00409397325303571
