"item","G2","df.G2","RMSEA.G2","p.G2"
"Item_1",35.5759061037381,32,0.0105763379610564,0.303606539440185
"Item_2",41.7173233817588,30,0.0197729212427779,0.0756565605348849
"Item_3",33.2730031283583,32,0.00631040164570584,0.405069415657911
"Item_4",20.5965877295917,34,0,0.965887670046188
"Item_5",51.2055881539693,31,0.025543014933029,0.012648422124576
"Item_6",48.2748038089541,34,0.0205004253197313,0.0533263409076917
"Item_7",33.7183766033083,34,0,0.48135008597028
"Item_8",35.9065247908891,32,0.0110544606750442,0.290339597565961
"Item_9",25.9094370770653,35,0,0.867876569972223
"Item_10",37.4258250263182,33,0.0115866371328561,0.273097125412816
"Item_11",43.4590096007589,34,0.0166878593407777,0.128305487035636
"Item_12",43.4587742122943,34,0.0166876516999044,0.128310567876153
"Item_13",55.8742186282056,34,0.0253772215735412,0.0104434022614429
"Item_14",46.1818314670023,33,0.019996231837066,0.0635228277718081
"Item_15",42.7856655070508,33,0.0172288174447936,0.11842058351203
"Item_16",36.0046577967575,35,0.00536033970196911,0.42130726523593
"Item_17",51.9272353446666,34,0.0229738857664855,0.0252084996416263
"Item_18",45.6115823975422,34,0.0184894290968598,0.0880929524168653
"Item_19",37.9671457809986,34,0.0108072917893654,0.293304422425169
"Item_20",37.4145966160778,35,0.00831008617749281,0.358840243924298
"Item_21",48.845553582092,34,0.0209062430839437,0.0476479775137274
"Item_22",40.6185680182656,22,0.029105767331867,0.00914565293921319
"Item_23",29.0475264236659,34,0,0.709017864317357
"Item_24",37.4749066116908,34,0.0101146152215022,0.312728561484927
"Item_25",60.3977944071483,33,0.0288282372235526,0.00249812239684306
"Item_26",40.1929121897316,27,0.022115955617842,0.0491460141547692
"Item_27",33.6669986076577,33,0.00449803416297189,0.435024611246425
"Item_28",39.2458846570043,35,0.0110196380440896,0.285249802361071
"Item_29",46.5537875935095,35,0.0181779717133961,0.0916485369728076
"Item_30",57.5731648453467,34,0.0263443048912762,0.00699906669462862
