"item","PV_Q1","df.PV_Q1","RMSEA.PV_Q1","p.PV_Q1"
"Item_1",33.8566507911407,35,0,0.523192277292796
"Item_2",35.9735229284873,35,0.00527662615669534,0.422734378420361
"Item_3",34.6585954231975,35,0,0.484479483943034
"Item_4",34.4198997728283,35,0,0.495940278803781
"Item_5",38.1041729276483,35,0.00942228393279332,0.330039373684385
"Item_6",33.1916695923097,35,0,0.555607041452781
"Item_7",31.3337373252726,35,0,0.645801105275711
"Item_8",32.4062802426736,35,0,0.593953511590553
"Item_9",33.5799624098857,35,0,0.536658400818569
"Item_10",34.5652823607036,35,0,0.488952547241731
"Item_11",44.1024942207681,35,0.0161347945461219,0.139186477569327
"Item_12",34.7320231651477,35,0,0.480966633131095
"Item_13",31.0352552454111,35,0,0.66001057761243
"Item_14",34.1477592747114,35,0,0.509075386529891
"Item_15",35.6385019102389,35,0.00427330936090575,0.438203634787218
"Item_16",30.8507686901291,35,0,0.668727670502355
"Item_17",42.5064804839971,35,0.0146521519418778,0.179176304181807
"Item_18",36.603047692059,35,0.00677105677424864,0.394256545742185
"Item_19",35.3766524677983,35,0.00328211385410419,0.450429668918759
"Item_20",34.1459857958928,35,0,0.509161197171938
"Item_21",50.0360256104892,35,0.0207371830895798,0.0477586652186115
"Item_22",33.7841761813696,35,0,0.526715588612247
"Item_23",32.6912746547909,35,0,0.580051346448494
"Item_24",35.815605316757,35,0.00482973450466837,0.430000742358261
"Item_25",44.0602455942274,35,0.0160973067038616,0.14014852778953
"Item_26",35.1369880134044,35,0.00197935876011039,0.461714768367484
"Item_27",34.6078098967477,35,0,0.48691273901684
"Item_28",33.353978212161,35,0,0.547681373073874
"Item_29",36.4049601469761,35,0.00633891949668205,0.403129096065963
"Item_30",34.8489646098017,35,0,0.475385412495825
