"item","S_X2","df.S_X2","RMSEA.S_X2","p.S_X2"
"Item_1",131.33720342592,119,0.0101871367972163,0.207108432000954
"Item_2",121.720101117303,118,0.00561763637961776,0.388603694581793
"Item_3",93.6441430556072,114,0,0.918195149812852
"Item_4",102.483948840123,127,0,0.946038199252067
"Item_5",134.862836150905,130,0.00611914011980794,0.367254827665462
"Item_6",140.121443145158,153,0,0.764100666972546
"Item_7",112.858546327906,152,0,0.992531002692584
"Item_8",142.29833064284,154,0,0.740924531521757
"Item_9",148.839471594185,168,0,0.85340897122913
"Item_10",179.705828948843,173,0.00622903025062481,0.347644360002502
"Item_11",171.957953499568,171,0.00236805298164077,0.465039160216003
"Item_12",171.026010536171,165,0.00604630745253724,0.357792464588461
"Item_13",157.153676200243,178,0,0.867680591166174
"Item_14",165.861870346338,166,0,0.488425029831197
"Item_15",145.02293486691,159,0,0.779450646065871
"Item_16",132.537737258078,140,0,0.660599765283445
"Item_17",187.03121477236,165,0.0115609761673408,0.115270187848233
"Item_18",145.566241758946,164,0,0.846492406630074
"Item_19",177.284413183504,155,0.0119964295503898,0.106183271310291
"Item_20",168.200460757796,156,0.008847958416996,0.238541447617832
"Item_21",158.765160937971,130,0.0148826059786026,0.0438411402191237
"Item_22",52.596921948667,64,0,0.844942324651219
"Item_23",157.387625808105,146,0.00883603488870277,0.245533901779935
"Item_24",134.081294628924,137,0,0.554576559778927
"Item_25",188.068994086414,157,0.014074436821803,0.0458526211351112
"Item_26",117.510034603392,115,0.00467420967562155,0.417530380636824
"Item_27",165.373485670292,170,0,0.585885340741886
"Item_28",187.283221628701,172,0.00943105956859217,0.201437635596416
"Item_29",153.916331573171,173,0,0.848520371531652
"Item_30",182.950401382223,187,0,0.570004964489877
