"item","parametro","verdadeiro","estimativa","erro_padrao","ic95_inferior","ic95_superior"
1,"a",0.8,0.884262847015322,0.0968233812630322,0.694492506878389,1.07403318715226
2,"a",0.83,0.964897903797892,0.102646218838214,0.763715011725775,1.16608079587001
3,"a",0.86,0.826452243467603,0.0927724505746568,0.644621581583754,1.00828290535145
4,"a",0.89,0.89725580089582,0.0911998095360704,0.71850745880821,1.07600414298343
5,"a",0.92,1.02316454632606,0.0955432573419972,0.835903202970108,1.21042588968202
6,"a",0.95,0.843577470094242,0.0839806740211331,0.678978373615423,1.00817656657306
7,"a",0.98,1.07347938547239,0.0909381582180033,0.895243870544699,1.25171490040008
8,"a",1.01,1.02061356744005,0.0872427478717973,0.84962092369902,1.19160621118108
9,"a",1.04,1.01886225160151,0.0848719248926087,0.852516335513406,1.18520816768961
10,"a",1.07,1.17451837804688,0.0883981029101366,1.00126128004135,1.34777547605242
11,"a",1.1,1.08944230378787,0.0856589484800742,0.921553849813354,1.25733075776239
12,"a",1.13,1.22421818238173,0.0889882205673814,1.04980447502135,1.3986318897421
13,"a",1.16,1.02378347422384,0.0807118604783236,0.865591134561105,1.18197581388658
14,"a",1.19,1.30228013666148,0.0904653438219756,1.12497132092138,1.47958895240159
15,"a",1.22,1.14912949579893,0.0838370868285955,0.984811825046123,1.31344716655173
16,"a",0.8,0.780385312598587,0.0729190356251213,0.637466628985957,0.923303996211218
17,"a",0.83,0.870132103909611,0.0765624295549364,0.720072499413051,1.02019170840617
18,"a",0.86,0.796117709627159,0.0750960746608296,0.648932107911602,0.943303311342716
19,"a",0.89,0.938627352014822,0.0795539192833716,0.782704535390407,1.09455016863924
20,"a",0.92,0.805586899849944,0.0776456947846223,0.653404134517495,0.957769665182393
21,"a",0.95,0.993848501382143,0.0852428977981242,0.826775491759991,1.1609215110043
22,"a",0.98,1.00482543373357,0.12476077685286,0.760298804418728,1.24935206304842
23,"a",1.01,0.967386844422865,0.0855935903232091,0.799626490081899,1.13514719876383
24,"a",1.04,1.00228050282618,0.0879894092691319,0.829824429637723,1.17473657601463
25,"a",1.07,1.07863951625493,0.0830129776169468,0.915937069876287,1.24134196263358
26,"a",1.1,0.899912446833044,0.0981307034124093,0.70757980236714,1.09224509129895
27,"a",1.13,1.08415221380401,0.0855088004782923,0.916558044505336,1.25174638310268
28,"a",1.16,1.06136977924067,0.0825206942025735,0.89963219062438,1.22310736785695
29,"a",1.19,1.0645332817526,0.0854403360434111,0.897073300280512,1.23199326322468
30,"a",1.22,1.17450973853826,0.0844800206243473,1.00893194070133,1.34008753637518
1,"b1",-4,-3.83711249811457,0.391043424360953,-4.60354352625325,-3.07068146997589
2,"b1",-3.5,-3.29287530195354,0.316808342593408,-3.91380824343845,-2.67194236046863
3,"b1",-3,-2.90065535442515,0.297775640845418,-3.4842848859555,-2.31702582289479
4,"b1",-2.7,-2.63070411398525,0.244852684331438,-3.11060655679282,-2.15080167117767
5,"b1",-2.55,-2.47233525277128,0.207778223390339,-2.87957308738806,-2.06509741815449
6,"b1",-2.45,-2.65146428129004,0.247650183749218,-3.13684972220323,-2.16607884037685
7,"b1",-2.25,-2.06975631680373,0.161476253808038,-2.38624395862594,-1.75326867498153
8,"b1",-2,-2.07931241948843,0.167081895103206,-2.40678691635941,-1.75183792261745
9,"b1",-1.9,-1.82606258779497,0.147385434041299,-2.11493273036172,-1.53719244522822
10,"b1",-1.65,-1.5353184495559,0.115205623809598,-1.76111732303918,-1.30951957607261
11,"b1",-1.35,-1.44793450110631,0.117900427127466,-1.67901509203804,-1.21685391017459
12,"b1",-1.1,-0.869364202319855,0.0830749739855785,-1.03218815934819,-0.706540245291519
13,"b1",-0.8,-0.781046941011732,0.0910632533005902,-0.959527637795937,-0.602566244227527
14,"b1",-0.7,-0.770395561636142,0.0768345153605647,-0.920988444512439,-0.619802678759846
15,"b1",-0.55,-0.539543987161318,0.0769858038718792,-0.690433390071065,-0.38865458425157
16,"b1",-0.4,-0.51385857435185,0.101322650452696,-0.712447320057275,-0.315269828646425
17,"b1",-0.0999999999999998,-0.0473888229959476,0.0848073163760644,-0.213608108718528,0.118830462726632
18,"b1",0.1,0.113730474736411,0.0904852398933869,-0.063617336587094,0.291078286059916
19,"b1",0.2,0.150678878952027,0.0801230605632047,-0.00635943408297623,0.307717191987029
20,"b1",0.35,0.48647245057648,0.0964274668682443,0.297478088394292,0.675466812758668
21,"b1",0.55,0.521564004567711,0.0829134378985429,0.359056652452169,0.684071356683254
22,"b1",-4,-3.54475347308122,0.380605455193031,-4.29072645757904,-2.79878048858341
23,"b1",0.8,0.716387393976426,0.0910953151154036,0.537843857189908,0.894930930762944
24,"b1",-1.8,-1.94555046865473,0.162319552282094,-2.2636909451143,-1.62740999219516
25,"b1",-0.7,-0.756283994940963,0.0873759890397251,-0.927537786572391,-0.585030203309535
26,"b1",-2.65,-3.00498614177217,0.293179687366745,-3.5796077700097,-2.43036451353464
27,"b1",0.3,0.2491433398255,0.0731067931099812,0.105856658304716,0.392430021346284
28,"b1",-1.35,-1.34383380091348,0.113160164078376,-1.56562364699174,-1.12204395483522
29,"b1",-1.85,-2.05524521361715,0.156804834131357,-2.36257704111638,-1.74791338611791
30,"b1",-1.25,-1.26533406724968,0.100446290190555,-1.46220517840383,-1.06846295609554
1,"b2",-3,-2.9125255812266,0.28567987777703,-3.47244785277738,-2.35260330967581
2,"b2",-3,-2.86268690817261,0.270762790839599,-3.39337222657178,-2.33200158977345
3,"b2",-2.6,-2.49810251953729,0.2552488735511,-2.99838111879187,-1.99782392028272
4,"b2",-2.3,-2.28024401236777,0.212242891727326,-2.69623243612796,-1.86425558860757
5,"b2",-2.15,-2.06309980782201,0.173969607062386,-2.40407397206888,-1.72212564357515
6,"b2",-2.05,-2.24955382951219,0.210686205097422,-2.66249120354256,-1.83661645548182
