"individuo","Item_1","Item_2","Item_3","Item_4","Item_5","Item_6","Item_7","Item_8","Item_9","Item_10","Item_11","Item_12","Item_13","Item_14","Item_15","Item_16","Item_17","Item_18","Item_19","Item_20","Item_21","Item_22","Item_23","Item_24","Item_25","Item_26","Item_27","Item_28","Item_29","Item_30"
1,4,4,4,4,4,4,4,4,2,4,3,1,4,4,4,0,0,4,0,0,0,4,1,4,4,4,0,4,4,4
2,4,4,4,4,4,4,4,4,4,3,4,4,1,4,0,4,4,1,0,2,0,4,0,4,4,4,4,2,4,4
3,4,4,4,4,1,4,4,3,4,1,0,0,0,0,0,1,0,0,0,0,0,4,2,0,1,4,0,2,4,1
4,4,4,1,4,4,4,4,4,4,4,4,4,4,2,4,0,0,4,0,0,4,4,3,4,0,4,2,4,4,4
5,3,4,4,4,4,4,4,4,4,0,4,4,3,4,3,4,2,0,0,1,2,4,2,2,1,4,0,0,4,2
6,4,2,4,4,4,4,4,4,4,4,4,4,0,4,4,4,2,0,4,0,0,4,3,4,0,4,4,2,4,4
7,4,4,4,4,4,4,3,4,1,4,4,4,3,4,2,1,0,4,4,2,2,4,0,4,4,4,2,4,4,4
8,4,4,2,2,4,4,4,4,4,4,4,4,0,1,4,4,4,4,0,0,1,4,4,2,4,4,4,1,4,4
9,4,4,4,0,0,4,4,2,2,4,1,4,0,1,2,2,0,0,0,0,0,3,0,4,2,4,0,3,4,0
10,4,4,0,4,2,2,2,0,0,1,0,0,2,0,0,4,0,0,0,0,0,0,0,2,0,4,2,0,2,2
11,3,1,2,2,4,2,1,4,0,0,0,3,3,0,2,3,4,0,4,4,0,0,1,0,3,4,0,0,4,0
12,4,4,4,2,4,4,3,4,4,4,1,4,4,3,2,0,2,0,0,0,0,4,2,4,1,4,2,2,4,4
13,1,4,3,0,4,3,4,2,4,4,4,4,0,0,0,3,4,2,0,1,0,4,1,0,4,4,2,4,3,2
14,4,2,4,4,3,4,4,4,4,2,4,2,0,4,4,4,0,4,0,1,0,4,0,0,2,1,2,4,4,2
15,4,4,0,4,4,0,4,0,4,3,1,0,0,4,0,0,0,0,0,1,0,4,0,4,2,4,0,4,0,2
16,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0,0,4,4,2,4,1,3,2,4,2,4,4,4
17,4,4,4,4,4,3,4,4,4,0,4,2,4,4,4,4,0,0,0,4,0,4,2,4,0,4,1,4,4,4
18,4,4,4,4,0,4,4,4,0,4,4,4,4,4,1,0,4,4,0,0,0,4,2,3,4,4,0,4,4,1
19,4,4,4,4,4,4,4,1,4,0,2,4,1,4,1,3,0,0,0,2,0,1,0,4,4,4,0,0,3,0
20,4,4,4,4,4,4,4,4,4,3,2,0,4,0,2,4,0,1,0,0,0,4,0,4,4,4,1,4,1,0
21,4,4,4,4,4,3,4,3,4,4,4,0,4,2,0,0,0,4,0,4,4,4,0,4,4,4,1,4,4,4
22,4,4,4,4,4,4,4,4,2,0,4,0,2,0,3,0,0,1,1,3,0,4,0,0,4,0,0,0,4,0
